Feed Rate,Depth Of Cut (mm),Spindle Speed,Time (Sec),P (w)
384,4000,1920,15,500
384,4000,1920,16,700
384,4000,1920,17,600
384,4000,1920,18,700
384,4000,1920,20,700
384,4000,1920,21,700
384,4000,1920,22,700
384,4000,1920,23,600
384,4000,1920,24,700
384,4000,1920,25,700
384,4000,1920,26,700
384,4000,1920,27,700
384,4000,1920,28,400
406,4000,2030,0,100
406,4000,2030,1,200
406,4000,2030,2,800
406,4000,2030,3,700
406,4000,2030,4,800
406,4000,2030,5,800
406,4000,2030,6,800
406,4000,2030,7,800
406,4000,2030,8,600
406,4000,2030,9,700
406,4000,2030,10,700
406,4000,2030,11,800
406,4000,2030,12,800
406,4000,2030,13,800
406,4000,2030,14,700
406,4000,2030,15,600
406,4000,2030,16,800
406,4000,2030,17,700
406,4000,2030,18,700
406,4000,2030,19,700
406,4000,2030,20,700
406,4000,2030,21,700
406,4000,2030,23,800
406,4000,2030,24,700
406,4000,2030,25,700
406,4000,2030,26,800
406,4000,2030,27,700
406,4000,2030,28,100
431,4000,2155,0,100
431,4000,2155,1,100
431,4000,2155,2,100
431,4000,2155,3,700
431,4000,2155,4,800
431,4000,2155,5,800
431,4000,2155,6,800
431,4000,2155,7,800
431,4000,2155,8,700
431,4000,2155,10,700
431,4000,2155,11,800
431,4000,2155,12,800
431,4000,2155,13,700
431,4000,2155,14,700
431,4000,2155,15,800
431,4000,2155,16,600
431,4000,2155,17,800
431,4000,2155,20,800
431,4000,2155,21,700
431,4000,2155,22,700
431,4000,2155,23,800
431,4000,2155,24,800
431,4000,2155,25,800
431,4000,2155,26,800
431,4000,2155,27,700
431,4000,2155,28,300
460,4000,2300,0,100
460,4000,2300,1,100
460,4000,2300,2,600
460,4000,2300,3,900
460,4000,2300,4,800
460,4000,2300,5,900
460,4000,2300,6,900
460,4000,2300,7,800
460,4000,2300,8,700
460,4000,2300,9,900
460,4000,2300,10,800
460,4000,2300,11,900
460,4000,2300,12,900
460,4000,2300,13,800
460,4000,2300,14,800
460,4000,2300,16,800
460,4000,2300,17,900
460,4000,2300,20,800
460,4000,2300,21,700
460,4000,2300,22,800
460,4000,2300,24,900
460,4000,2300,26,100
460,4000,2300,27,100
490,4000,2450,0,100
490,4000,2450,1,100
490,4000,2450,2,100
490,4000,2450,3,500
490,4000,2450,4,900
490,4000,2450,5,900
490,4000,2450,6,1000
490,4000,2450,7,1000
490,4000,2450,8,900
490,4000,2450,9,800
490,4000,2450,10,1000
490,4000,2450,12,1000
490,4000,2450,13,1000
490,4000,2450,14,1000
490,4000,2450,15,800
490,4000,2450,16,900
490,4000,2450,17,900
490,4000,2450,18,1000
490,4000,2450,19,900
490,4000,2450,21,800
490,4000,2450,22,1000
490,4000,2450,23,1000
490,4000,2450,25,900
490,4000,2450,26,100
384,5000,1920,0,600
384,5000,1920,2,900
384,5000,1920,3,1000
384,5000,1920,5,1000
384,5000,1920,6,1000
384,5000,1920,7,900
384,5000,1920,8,900
384,5000,1920,10,1000
384,5000,1920,11,1000
384,5000,1920,12,1000
384,5000,1920,13,800
384,5000,1920,14,900
384,5000,1920,15,700
384,5000,1920,16,1000
384,5000,1920,17,900
384,5000,1920,19,1000
384,5000,1920,20,900
384,5000,1920,21,900
384,5000,1920,24,900
384,5000,1920,25,900
384,5000,1920,26,1000
384,5000,1920,28,400
406,5000,2030,0,200
406,5000,2030,1,200
406,5000,2030,2,900
406,5000,2030,3,900
406,5000,2030,4,900
406,5000,2030,5,1000
406,5000,2030,6,1000
406,5000,2030,7,900
406,5000,2030,8,800
406,5000,2030,10,1000
406,5000,2030,11,1000
406,5000,2030,12,1000
406,5000,2030,13,900
